"","HAS_FIRE","Elevation","Slope","NDVI","Road","Hydrography","Pop_dens","Ocupations","LULC","Temperature","RH","Precipitation","Wind Speed","Prob_fogo","HasFire_Predict"
"1905","not-burned",676.882,1.96996,0.650584,3908.35,135.952,1.10344,1487.11,"3",21.43918,72.18707,37.47377,3.595542,2.220446e-16,"0"
"1906","not-burned",796.954,0.372995,0.312013,2867.91,729.595,0.895577,6391.91,"15",29.12325,78.98217,36.26845,5.717311,2.220446e-16,"0"
"1907","not-burned",724.386,1.73797,0.563422,203.928,735.273,0.895577,7494.52,"4",23.53674,64.23148,40.38962,8.349957,2.220446e-16,"0"
"1908","not-burned",695.146,2.12138,0.57222,5143.32,91.1994,1.10344,1461.72,"4",21.62716,33.37841,41.48991,16.35998,2.220446e-16,"0"
"1909","not-burned",672.979,0.322602,0.618438,2935.59,60.7996,1.10344,2413.67,"4",29.60904,61.38216,15.64191,11.74148,2.274738e-10,"0"
"1910","not-burned",717.16,1.54666,0.629433,530.91,1641.59,0.672481,2893.73,"4",25.03433,50.76506,32.77107,15.4427,2.220446e-16,"0"
"1911","not-burned",690.802,1.70967,0.639374,5200.14,851.737,1.10344,1663.12,"4",22.29177,89.59818,11.35253,14.91585,3.247106e-08,"0"
"1912","not-burned",715.833,2.23744,0.620478,3297.22,576.795,3.51187,5044.53,"4",27.1071,36.46553,12.33678,18.04561,4.964037e-08,"0"
"1913","not-burned",707.433,5.5284,0.464624,3517.06,788.639,0.895577,4651.27,"12",29.36657,37.44212,3.536703,16.62433,0.05730015,"0"
"1914","not-burned",823.199,4.95455,0.632742,654.832,280.272,3.12262,2675.87,"4",25.06202,53.43607,8.40429,11.52806,1.700646e-05,"0"
"1915","not-burned",689.979,3.73862,0.487936,4125.98,171.967,0.895577,4849.51,"4",22.95247,67.83294,30.30668,3.531163,2.220446e-16,"0"
"1916","not-burned",782.028,0.361039,0.631599,3511.8,1658.67,0.895577,5103.73,"4",24.72719,55.0915,39.97826,7.446224,2.220446e-16,"0"
"1917","not-burned",720.161,3.17465,0.663022,5395.51,0,0.895577,4717.55,"4",23.56635,41.0385,5.062466,14.73907,0.002330864,"0"
"1918","not-burned",717.727,2.27229,0.573028,3191.98,1199.16,1.10344,1142.72,"4",21.58261,90.16019,9.301903,4.219508,4.252435e-06,"0"
"1919","not-burned",791.958,1.33039,0.534065,1989.97,339.88,3.12262,1840.38,"4",20.6479,87.84772,32.80314,8.407877,2.220446e-16,"0"
"1920","not-burned",722.476,3.43241,0.606582,3900.78,902.828,3.51187,4742.85,"4",21.37074,64.19855,2.922661,5.065646,0.1068753,"0"
"1921","not-burned",769.977,0.34129,0.558438,761.817,840.817,3.12262,3055.14,"4",27.93771,63.37152,11.85346,12.6015,9.451703e-08,"0"
"1922","not-burned",769.068,3.49659,0.661827,2841.53,151.999,0.895577,2576.64,"4",22.92025,51.80894,41.81226,4.827759,2.220446e-16,"0"
"1923","not-burned",679.423,2.47634,0.55666,3020.61,815.712,3.51187,1779.1,"4",26.43783,40.97703,1.20262,7.776448,0.7835148,"0"
"1924","not-burned",827.378,1.18432,0.616639,881.594,2298.55,0.895577,4212.54,"4",21.72953,37.53999,38.75621,3.665296,2.220446e-16,"0"
"1925","not-burned",703.636,2.41,0.581725,3651.14,1074.79,1.10344,1721.01,"4",26.05925,46.80461,39.38901,11.1498,2.220446e-16,"0"
"1926","not-burned",675.047,2.15295,0.49104,2049.45,707.081,0.895577,5738.48,"12",26.01855,40.25893,5.433309,18.14164,0.002473503,"0"
"1927","not-burned",699.068,3.92766,0.61414,245.091,765.447,1.10344,3390.09,"4",28.42143,72.41298,28.3755,10.80796,2.220446e-16,"0"
"1928","not-burned",731.786,6.74262,0.629737,4096.87,395.197,1.53336,2420.75,"4",25.84539,83.05705,37.6757,14.13091,2.220446e-16,"0"
"1929","not-burned",679.832,4.79962,0.588831,3363.54,214.959,1.53336,2217.52,"4",21.86323,48.58007,19.91026,15.09246,8.021048e-13,"0"
"1930","not-burned",686.444,3.73024,0.653569,5021.86,231.518,1.10344,1158.79,"4",25.58481,75.05944,3.08153,6.997362,0.02509383,"0"
"1931","not-burned",635.395,3.4763,0.559327,2787.02,303.998,0.895577,474.86,"15",27.6351,40.53785,38.27362,13.76067,2.220446e-16,"0"
