hasFire,elevation,slope,ndvi,road,hydrography,popDens,ocupations,lulc,year
1,740.3549805,3.094599962,0.7199,669.4860229,1074.790039,18.78120041,451.9253845,15,2006
1,715.007019,1.69145,0.666,135.9519958,1381.77002,1.961470008,980.3638306,4,2006
1,751.8829956,2.10206008,0.7351,1386.780029,2079.669922,5.752769947,3555.866211,3,2006
1,768.2650146,2.417900085,0.5726,2875.149902,1647.77002,5.752769947,3210.310059,4,2006
1,744.4680176,2.174180031,0.7345,761.8170166,3032.219971,18.78120041,2055.754395,4,2006
1,734.401001,1.462949991,0.4678,2192.580078,2951.290039,5.752769947,1449.34021,15,2006
1,760.1049805,2.399790049,0.6777,1767.380005,1609.75,5.752769947,3740.533447,15,2006
1,745.0430298,1.041290045,0.7106,2719.379883,2470.060059,5.752769947,2536.880371,4,2006
1,741.2139893,2.911119938,0.7191,1849.150024,2585.590088,5.752769947,1538.121338,4,2006
1,732.4119873,2.725250006,0.5498,2665.840088,2800.909912,5.752769947,2040.412598,4,2006
1,744.8439941,2.322580099,0.6803,2490.73999,2614.379883,5.752769947,2866.782471,4,2006
1,731.3010254,3.002990007,0.3563,30.39979935,364.7969971,5.752769947,171.9671936,15,2006
1,703.7470093,2.551670074,0.68,125.3420029,243.197998,5.438560009,221.3138275,4,2006
1,711.0369873,3.356189966,0.476,1609.75,2541.429932,5.752769947,1392.429932,4,2006
1,735.1929932,0.675523996,0.4705,1972.47998,1742.359985,5.752769947,885.2553101,4,2006
1,723.7039795,5.835050106,0.6682,423.4200134,790.3950195,5.438560009,490.1819153,4,2006
1,726.4949951,1.278810024,0.3711,2471.560059,2096.47998,5.752769947,1676.404541,15,2006
1,698.3699951,1.161599994,0.3268,2020.609985,1656.439941,5.752769947,944.3527832,4,2006
1,716.4719849,2.100500107,0.021,192.2649994,171.9669952,1.010669947,2915.370117,4,2006
1,721.4160156,3.362479925,0.5895,121.598999,192.2649994,1.010669947,4062.781738,15,2006
1,699.7290039,4.019899845,0.521,413.4819946,984.5969849,1.010669947,4547.894043,3,2006
1,731.2009888,8.88572979,0.4205,2124.070068,221.3139954,5.752769947,5194.006836,4,2006
1,717.1129761,1.751649976,0.4458,1153.589966,625.9699707,1.010669947,4423.143555,4,2006
1,709.7479858,5.150380135,0.448,573.5819702,257.9509888,1.010669947,3310.647461,4,2006
1,448.5090027,2.332429886,0.6092,6051.390137,432.0620117,7.641960144,2346.895508,4,2006
1,463.3890076,2.542490005,0.3236,3133.540039,1005.030029,12.19499969,1213.709595,4,2006
1,461.4320068,0.556607008,0.5905,652.7109985,259.7359924,7.641960144,938.4627686,15,2006
1,456.8529968,0.813318014,0.4898,759.9949951,286.7909851,7.641960144,125.3415527,4,2006
1,462.5069885,0.926388025,0.4477,3570.649902,1184.030029,12.19499969,1821.19873,4,2006
1,452.5889893,0.581263006,0.5864,7496.680176,930.5510254,7.641960144,2123.638184,4,2006
