"","Temperature","RH","Precipitation","Wind Speed","HAS_FIRE","Prob_fogo","HasFire_Predict"
"282",27.69635,50.43229,0.0002371635,5.678594,"not-burned",0.295741263236779,"0"
"283",27.0125,63.74479,1.09024,9.611667,"not-burned",0.152378264216213,"0"
"284",26.76406,58.55729,1.134115,10.56828,"burned",0.201592937888433,"0"
"285",26.89427,51.02083,0.08739472,16.40854,"burned",0.41711401699317,"0"
"286",26.33542,53.6875,0.07411357,14.6888,"burned",0.312033440154261,"0"
"287",27.11406,48.82292,0.0005929085,15.80896,"burned",0.458044119508668,"0"
"288",27.99531,46.95312,8.328e-14,13.45625,"burned",0.505530039151056,"0"
"289",28.66667,36.38021,8.328e-14,12.44089,"burned",0.695262629001362,"0"
"290",28.11354,36.70312,8.328e-14,13.79797,"not-burned",0.679672901069393,"0"
"291",28.56823,39.08333,8.328e-14,12.07318,"not-burned",0.644069910202381,"0"
"292",29.3974,38.30729,8.328e-14,9.105885,"burned",0.657353984395226,"0"
"293",30.60469,38.09896,0.02964543,8.492031,"not-burned",0.721129039218243,"0"
"294",29.82188,42.68229,0.04316374,8.53599,"not-burned",0.607316088065648,"0"
"295",29.09531,51.44792,0.4144431,6.56151,"not-burned",0.374429062291614,"0"
"296",27.71094,56.54167,1.783113,7.401667,"not-burned",0.219838917510606,"1"
"297",28.1974,44.60938,0.002134471,12.5551,"burned",0.540967866167048,"1"
"298",28.30729,41.85417,8.328e-14,11.96031,"burned",0.582015793418187,"0"
"299",28.46979,36.16146,8.328e-14,9.862292,"not-burned",0.644025713299032,"0"
"300",29.61927,35.16667,8.328e-14,11.18161,"burned",0.74520527025001,"0"
"301",29.87813,36.09896,0.0009486536,9.345313,"not-burned",0.720430206418995,"1"
"302",29.74167,45.07812,2.486896,7.385521,"burned",0.498007873058749,"1"
"303",25.53073,73.69271,19.19079,8.0625,"not-burned",0.0145007433981843,"0"
"304",25.36927,63.35938,2.379698,12.53099,"not-burned",0.117032542429657,"1"
"305",25.61615,59.39583,0.9856512,12.7276,"not-burned",0.171353627277807,"0"
"306",26.51979,54.6875,0.03949678,13.49625,"burned",0.290767789449267,"0"
"307",27.38385,48.85417,0.02314878,11.63458,"not-burned",0.399287123580195,"0"
"308",28.23385,40.49479,0,11.79161,"burned",0.595652940504392,"0"
"309",28.34531,37.20833,0,13.56818,"burned",0.682636003107525,"0"
"310",28.31042,38.51562,0,13.62083,"burned",0.662508970112772,"0"
"311",27.27448,45.34896,0.00418509,15.19953,"burned",0.514531584453294,"0"
"312",26.76198,48.375,0.1723734,11.07828,"not-burned",0.354162207463838,"0"
"313",24.8474,62.57812,2.371246,8.391458,"not-burned",0.0815764990861571,"1"
"314",26.00052,62.64062,1.79318,6.145625,"burned",0.0968910487426793,"0"
"315",24.06615,75.32292,7.197308,4.426875,"not-burned",0.0159665593829584,"0"
"316",25.54792,71.78646,0.7180044,5.102552,"not-burned",0.0494730893895177,"0"
"317",24.93281,75.55729,5.894176,5.725208,"not-burned",0.02399930924378,"0"
"318",22.09063,91.8125,54.14512,5.803802,"not-burned",0.000113262666077697,"0"
"319",23.33021,85.25521,7.976127,9.441823,"not-burned",0.00938789305525595,"0"
"320",24.07813,83.5,13.8312,9.469583,"not-burned",0.00845280365155896,"1"
"321",24.23281,80.66146,6.724,8.895052,"not-burned",0.0169927223188798,"0"
"322",24.25365,80.0625,7.603785,7.547656,"not-burned",0.0151029736734694,"1"
