"","HAS_FIRE","Slope","NDVI","Road","Hydrography","Pop_dens","Ocupations","LULC","Prob_fogo","HasFire_Predict"
"124","not-burned",1.22099817,0.593182202,204.146256,424.6504261,1.103440046,720.6710017,"4",0.183797174992894,"0"
"125","not-burned",1.685226245,0.618015455,1445.098527,797.9407486,1.103440046,2231.279435,"4",0.0796164068278603,"1"
"126","not-burned",1.54278878,0.626365459,5223.338157,1090.118929,1.103440046,4666.974743,"4",0.0422829805996085,"1"
"127","not-burned",0.972304718,0.534346656,4137.379219,1547.783375,0.802272975,6739.319362,"12",0.0300100675227837,"1"
"128","not-burned",1.952003078,0.653592691,4553.479645,2331.049571,0.672481,7948.568275,"4",0.0108197628631571,"0"
"129","not-burned",0.936338778,0.595362481,5695.455133,2347.567685,0.48012501,10566.17995,"4",0.0329764529882077,"0"
"130","not-burned",2.110906879,0.551215461,1551.191483,2502.191354,2.220340014,1975.55529,"4",0.19686913088803,"0"
"131","not-burned",1.151644751,0.454418737,1594.213333,2020.318234,0.48012501,10902.28407,"12",0.105159926509509,"0"
"132","not-burned",1.748733853,0.608083334,3159.065422,336.4390017,1.103440046,2656.693484,"4",0.100339827451334,"1"
"133","not-burned",2.202375842,0.504773315,14404.59807,255.5065507,2.507019997,686.3782046,"4",0.507774931871844,"0"
"134","burned",1.602285265,0.451094269,5657.853685,1624.049512,2.220340014,4904.624752,"4",0.686208656831947,"0"
"135","burned",1.768733377,0.715086085,301.2109621,123.8028451,0.802272975,356.3573111,"4",0.0136231222904195,"1"
"136","burned",4.327410819,0.387186737,15888.00565,1653.291663,2.507019997,4445.192559,"4",0.84110422069414,"1"
"137","burned",0.818459325,0.543926737,9662.597248,1344.231167,0.672481,1993.499619,"9",0.313414419249069,"1"
"138","burned",2.817204067,0.43158902,9594.580135,388.0219124,2.364119125,4095.026971,"12",0.305602119955859,"0"
"139","burned",2.182275183,0.533948815,12792.68297,120.6599454,2.276500557,1076.949984,"4",0.354691575230034,"0"
"140","burned",1.127975578,0.291031228,1276.208214,3494.362788,0.895577013,9533.361903,"15",0.614814610506534,"1"
"141","burned",1.189226519,0.455295148,1398.682723,273.8550012,0.802272975,5326.242667,"12",0.265805541625789,"0"
"142","burned",1.863148594,0.509308548,11769.78447,342.7125007,2.507019997,481.7599064,"4",0.512873464215218,"0"
"143","burned",0.956920916,0.301525943,2522.082065,1550.191805,0.895577013,8389.394107,"41",1.41675782804407e-05,"0"
"144","burned",2.794755915,0.370495586,9911.955832,767.320509,2.507019997,3790.466362,"4",0.941039000098859,"0"
"145","burned",5.1219437,0.354305765,16044.17956,1085.968723,2.507019997,3962.674423,"4",0.928645139727439,"0"
"146","burned",2.202861466,0.435975147,12668.94878,463.5089315,2.507019997,332.9711923,"4",0.843286198396926,"0"
"147","burned",1.490276285,0.468527649,803.2745195,209.7074559,0.802272975,5671.971846,"4",0.708154815408764,"0"
"148","burned",2.186101348,0.34515753,9584.708608,264.3677998,2.00223027,4211.647236,"12",0.785558785748762,"0"
"149","not-burned",1.484327245,0.592365537,503.4882652,175.6715932,0.672481,582.1271437,"4",0.194336274205276,"0"
"150","not-burned",1.35164539,0.475568883,5660.816163,1963.412476,0.48012501,10323.57841,"12",0.0618549254110453,"0"
"151","not-burned",1.848415146,0.476431245,2519.002907,273.709201,0.48012501,12125.105,"12",0.0840347778853896,"0"
"152","not-burned",2.211678271,0.503211894,9145.23641,1394.890006,0.802272975,5473.040489,"12",0.0536812608739459,"0"
"153","not-burned",2.854242725,0.668457754,580.969993,221.4962091,0.802272975,3694.6588,"4",0.0235880409596783,"0"
"154","not-burned",1.65563757,0.541833321,11148.86399,330.7442342,0.48012501,470.5004703,"4",0.340380345252537,"0"
"155","not-burned",3.289253014,0.555101089,11894.67237,104.9068563,2.507019997,1830.736961,"4",0.220134273976829,"0"
"156","not-burned",2.291869457,0.577933315,1359.076758,365.2355414,1.103440046,2193.39419,"4",0.19157293290877,"0"
"157","not-burned",4.432079616,0.573497899,6659.026416,305.9799644,0.48012501,6812.999127,"4",0.0945597627194194,"1"
"158","not-burned",2.60650709,0.565516659,5220.101508,272.3656457,1.103440046,5186.219128,"4",0.164108814685378,"0"
"159","not-burned",2.598112804,0.46749776,7223.365643,371.3186039,0.48012501,2622.83504,"12",0.200236826733096,"0"
"160","not-burned",6.447050911,0.632269021,4461.637421,184.3242756,0.48012501,8029.349787,"4",0.0201794284543937,"0"
"161","not-burned",2.30415432,0.52916144,12903.15313,805.282447,2.507019997,5681.085419,"4",0.227245473342453,"0"
"162","not-burned",2.053763965,0.63398451,2396.734067,979.2137892,1.103440046,6294.594704,"4",0.0320850361913959,"0"
"163","not-burned",5.00299612,0.604896409,11292.01215,160.5475367,2.507019997,2144.619318,"4",0.0659113054596241,"1"
"164","not-burned",2.232621892,0.58185999,15392.58643,319.45303,2.507019997,752.8509012,"4",0.137039324245554,"1"
"165","not-burned",1.598276627,0.630980947,1947.632833,584.6283694,0.802272975,3263.95172,"4",0.0566311818337234,"0"
"166","not-burned",1.336186723,0.365726656,460.2746947,1815.733762,0.48012501,9670.148488,"12",0.539001092795938,"0"
"167","not-burned",0.825878765,0.546857131,2593.778782,1985.502463,2.220340014,2442.532336,"4",0.249891291535137,"0"
"168","not-burned",1.010663031,0.569503914,2746.825229,2710.540363,0.802272975,5468.68966,"4",0.0988256599736096,"0"
"169","not-burned",2.561190153,0.568049984,10534.10713,400.2190469,0.802272975,7030.973038,"4",0.107785790632231,"0"
"170","not-burned",3.625092756,0.518026173,13231.5973,196.1769126,2.507019997,5567.405268,"4",0.283493698241326,"0"
"171","not-burned",1.888627036,0.570501187,4130.19905,1185.748811,0.802272975,3069.8363,"4",0.159924528894748,"0"
"172","not-burned",2.221983588,0.507798711,3225.179443,324.5754749,0.48012501,1990.220206,"12",0.112706104884508,"0"
"173","not-burned",0.992646789,0.498191094,3950.638379,577.1532269,0.48012501,6932.295192,"12",0.0863186803324144,"0"
"174","not-burned",1.304085176,0.65954777,2438.684701,376.1371335,0.802272975,6211.054167,"4",0.0232533488431482,"0"
"175","not-burned",4.609839451,0.590473788,8348.1712,262.9632304,0.802272975,9451.681105,"4",0.0465219938144595,"0"
"176","not-burned",3.237889823,0.453590611,6324.438141,720.3587016,0.48012501,2198.429621,"12",0.239965214436717,"1"
"177","burned",2.458239938,0.385918706,4494.319358,406.7184375,2.220340014,373.6664674,"12",0.707054438904998,"0"
"178","burned",1.172192751,0.486177032,1026.36567,600.4858727,0.802272975,464.1130601,"4",0.725352371890349,"0"
"179","burned",1.713124361,0.611747052,2625.234918,208.6229678,2.507019997,711.8479844,"4",0.119198602889679,"0"
"180","burned",2.591941085,0.366397887,3071.230642,468.3051125,2.507019997,3099.788054,"12",0.740500301431473,"0"
"181","burned",2.092531009,0.515586251,14142.10634,239.230516,1.283047694,4296.396036,"4",0.353685466580424,"0"
"182","burned",1.43922653,0.587286203,231.8833869,1114.931527,0.802272975,3856.78691,"4",0.126271632112925,"0"
"183","burned",1.796942711,0.256967571,3928.407916,111.5888673,2.507019997,3719.506368,"4",0.997404917933736,"0"
"184","burned",5.900055659,0.348169303,10231.82596,1362.777696,0.802272975,7270.719212,"4",0.914769992443636,"0"
"185","burned",2.917154923,0.322122995,4624.505998,215.510076,2.507019997,3131.195503,"12",0.887693204838494,"1"
"186","burned",3.08969516,0.474691962,2373.655841,283.1263523,2.507019997,2687.145553,"4",0.695446123440759,"0"
"187","burned",1.812505194,0.488709552,10431.01601,225.6144047,0.802272975,6490.97329,"4",0.486127940464832,"0"
"188","burned",2.077804465,0.575713146,742.9208822,192.7329019,0.95992616,1513.330191,"4",0.228773724251585,"0"
"189","burned",1.007597924,0.606054556,444.9620674,811.8444186,0.802272975,595.8456956,"3",0.782086629163885,"1"
"190","burned",1.688717551,0.566726112,1717.914426,683.3154149,0.802272975,1297.995063,"4",0.246698844583108,"0"
"191","burned",2.990272789,0.294392272,3754.215092,344.9669705,2.507019997,2314.71217,"4",0.993558501990536,"0"
"192","burned",1.687564488,0.433119343,14078.67003,772.2621908,2.507019997,2152.905424,"4",0.811716420097222,"0"
"193","burned",2.581695763,0.339801533,12034.6766,268.5440447,2.163256152,6167.190663,"12",0.745227925129149,"0"
"194","burned",1.727560142,0.328277635,10610.11296,192.3599007,0.802272975,7608.629054,"12",0.793685300837169,"0"
"195","burned",2.214378004,0.460811661,11143.64475,144.1651412,2.220340014,1903.943059,"4",0.744593052577886,"1"
"196","burned",3.247388549,0.28868482,10116.01844,305.3981628,0.802272975,7880.621916,"4",0.986699080600726,"0"
"197","burned",1.904726106,0.564691587,758.6756053,310.5340357,0.802272975,2977.589657,"4",0.242677484711081,"0"
"198","burned",2.904455618,0.533907556,1389.450638,892.2156273,2.220340014,1254.626985,"4",0.371474444339966,"1"
"199","burned",2.068597411,0.316024677,11440.71953,502.5993375,0.802272975,6569.037344,"12",0.831118418526729,"0"
"200","burned",1.955939815,0.480573797,14417.43823,593.8848372,2.507019997,2605.401138,"4",0.576667268487288,"1"
"201","burned",0.997438748,0.63407585,10385.88224,413.4582806,0.48012501,2741.65285,"4",0.0471999972676892,"0"
"202","burned",1.007496965,0.494500856,306.8291894,192.345363,0.802272975,935.2593762,"4",0.708188201938299,"1"
"203","burned",1.974840559,0.522322118,12412.40022,1192.384416,0.802272975,2619.370122,"4",0.314408439526348,"1"
"204","burned",3.146316173,0.482454028,7500.38862,148.1546897,2.444404881,6394.325372,"4",0.520149133048419,"1"
