mes,ano,diasSemChuva,quantidadeFocos,umidadeMedia,tempMedia,tempMax,mediaTempComFocos,mediaPrecComFocos,mediaUmidadeComFocos,umidadeMinima,precipitacaoMedia,diasComFogo,totalPluviosidade
1,2003,0,1,82.16642228739003,24.450403225806475,26.5928030303031,25.1238636363637,0.262521567454545,69.8409090909091,68.0227272727273,6.457625763513198,1,200.18639866890913
2,2003,0,5,69.39150432900433,25.287987012987035,27.2193181818182,25.7230113636364,0.509071497113636,66.63636363636365,59.4128787878788,1.3001263585227274,4,36.40353803863637
3,2003,0,3,74.12524437927662,24.80987292277618,27.2015151515152,25.91875,0.611424425772727,66.61174242424245,58.8522727272727,4.132481719032259,2,128.10693329000003
4,2003,0,1,70.57815656565657,24.940328282828304,26.2238636363637,25.0905303030303,0.424837413636364,71.969696969697,58.9507575757576,1.374811570827273,1,41.24434712481819
5,2003,13,6,62.28629032258065,23.737927663734137,26.0098484848485,24.372222222222234,0.058144667818181665,56.25,48.2840909090909,0.5747285151994137,3,17.816583971181824
6,2003,23,6,56.93131313131313,22.190959595959626,24.0553030303031,22.071843434343467,0.005792291090909083,59.87752525252523,46.9734848484849,0.0023889982818181806,3,0.07166994845454541
7,2003,18,11,54.20650048875855,21.47094330400785,23.3780303030303,21.451352813852857,0.007133406519480519,54.82088744588744,49.3560606060606,0.011007851997067462,7,0.34124341190909135
8,2003,13,10,54.40224828934507,23.539907135874905,25.4113636363637,23.733901515151516,0.07228937131818185,50.33207070707072,45.1060606060606,0.21310795973313784,6,6.606346751727273
9,2003,16,227,46.6614898989899,25.429936868686884,27.9810606060606,25.518082137161105,0.002346548028708129,44.63197767145135,31.6742424242424,0.16728025173636354,19,5.018407552090906
10,2003,0,127,48.777981427174986,26.15127077223853,28.8170454545455,26.50147727272729,0.5127536418182573,46.10795454545455,31.2537878787879,0.5894524036305695,20,18.273024512547654
11,2003,2,4,65.38143939393939,25.31800505050507,27.8375,26.3746212121212,0.27551895927272735,59.45833333333334,47.6931818181818,4.087183403521211,2,122.61550210563631
12,2003,5,2,66.66837732160312,25.901307429130032,28.507196969697,27.02121212121215,0.0151824568181818,50.8333333333333,39.1401515151515,5.297289486187688,2,164.21597407181832
1,2004,0,0,81.50904203323559,24.118829423264934,27.0359848484849,0.0,0.0,0.0,59.0530303030303,9.619344650730222,0,298.19968417263686
2,2004,0,0,83.44344305120167,23.636520376175575,25.4965909090909,0.0,0.0,0.0,73.719696969697,7.385449929492212,0,214.17804795527414
3,2004,0,0,83.01759530791789,23.31141251221899,25.1280303030303,0.0,0.0,0.0,67.7916666666667,8.13391458586217,0,252.15135216172726
4,2004,1,0,78.33737373737374,23.432840909090935,24.6496212121212,0.0,0.0,0.0,64.9242424242424,3.1323231832666676,0,93.96969549800002
5,2004,3,0,71.19525904203323,23.483431085044007,24.7890151515152,0.0,0.0,0.0,66.6704545454545,0.17954309765982404,0,5.565836027454545
6,2004,7,6,66.87575757575756,21.201489898989916,22.4234848484849,20.972878787878802,0.0416990155090909,65.84166666666664,59.0984848484849,0.09443116947575753,5,2.8329350842727257
7,2004,13,3,61.790689149560116,20.82755376344088,23.9693181818182,19.9778409090909,0.0,55.18371212121215,51.3295454545455,0.061640179894428174,2,1.9108455767272734
8,2004,25,58,50.01771749755621,22.58307673509288,26.8928030303031,23.4183857808858,0.00299108262937063,47.64597902097903,37.5833333333333,0.0029553553137829907,13,0.09161601472727271
9,2004,0,242,42.93611111111112,24.496363636363657,27.5625,24.536958874458897,1.9281980685972927E-5,42.7245670995671,29.9356060606061,1.7996515318012066E-5,28,5.39895459540362E-4
10,2004,14,61,53.941226783968716,26.34646871945263,29.4856060606061,26.801426024955475,0.8751778807754009,50.69540998217468,37.7916666666667,2.094509276011732,17,64.92978755636369
11,2004,5,2,61.68989898989899,25.714103535353562,28.0553030303031,26.85151515151515,0.00791873645454545,50.702651515151544,43.469696969697,2.4936446756151507,2,74.80934026845452
12,2004,0,0,74.71199902248289,24.566495601173038,26.2984848484849,0.0,0.0,0.0,59.7234848484849,4.722112311958943,0,146.38548167072724
1,2005,0,0,78.69806940371457,24.61841397849465,26.0049242424243,0.0,0.0,0.0,62.9356060606061,6.421476111865105,0,199.06575946781825
2,2005,0,0,80.48295454545455,24.344548160173172,25.826893939394,0.0,0.0,0.0,64.5151515151515,8.338629251694805,0,233.48161904745453
3,2005,0,1,82.26160801564026,24.24618768328448,25.575,24.3473484848485,10.2747163986364,83.7689393939394,72.8030303030303,5.576663052407677,1,172.876554624638
4,2005,0,0,68.93131313131312,24.85833333333336,25.8132575757576,0.0,0.0,0.0,56.2121212121212,1.448443066203136,0,43.45329198609408
5,2005,10,0,65.95601173020528,23.003018084066493,24.9977272727273,0.0,0.0,0.0,56.4507575757576,0.2719806348973605,0,8.431399681818176
6,2005,7,1,64.50151515151514,21.98643939393941,23.8227272727273,20.4280303030303,0.0,59.094696969697,55.6931818181818,0.07475981900000002,1,2.2427945700000005
7,2005,16,15,57.859726295210166,21.433773216031312,22.9412878787879,21.41606060606062,0.030045850163636322,59.7030303030303,49.5871212121212,0.03134165648680352,5,0.9715913510909091
8,2005,0,19,50.94978005865103,23.270344574780083,26.5727272727273,24.080218855218877,0.04667955071733092,49.18476430976431,42.3409090909091,0.017800311654120847,9,0.5518096612777462
9,2005,14,54,51.768434343434336,25.572487373737395,27.7958333333334,25.75423351158648,0.23881357210695137,47.283422459893046,41.7159090909091,0.5990702820363633,17,17.972108461090897
