"","HAS_FIRE","Slope","NDVI","Road","Hydrography","Ocupations","LULC","Temperature","RH","Precipitation","Wind Speed","FMC","DMC","DC","Prob_fogo","HasFire_Predict"
"791","not-burned",6.886129856,0.475062996,1264.430054,1077.369995,1492.379028,"21",25.79139516,61.67539369,30.35686393,9.139454579,61.40587989,302.721256,301.1863798,2.22044604925031e-16,"0"
"792","not-burned",12.10910034,0.457830995,2802.719971,2203.090088,2813.253906,"4",24.66399115,72.63198454,30.86465669,12.64570976,65.32637892,9.574902535,1206.185946,2.22044604925031e-16,"0"
"793","not-burned",8.7332201,0.466039002,339.8800049,490.1820068,752.6634521,"4",23.83823806,33.88643677,16.37669924,11.34827756,72.30974986,300.3928082,977.6789157,3.28458014947543e-08,"0"
"794","not-burned",8.594670296,0.431185007,2410.98999,2800.25,2553.944336,"12",21.90447143,65.14091589,18.85162561,12.60554937,38.21052531,136.3168315,1217.606721,6.36852749304387e-11,"0"
"795","not-burned",0.412241012,0.621707976,1611.189941,1011.909973,5414.236328,"3",28.17115795,68.15687653,29.14085441,13.84597337,71.27531155,291.093828,38.36804673,2.22044604925031e-16,"0"
"796","not-burned",1.216560006,0.363375992,668.7949829,1210.280029,836.4086914,"15",22.67797259,42.38386623,24.24512947,6.274700735,73.26332527,217.5744145,416.3981643,8.18272615644607e-10,"0"
"797","not-burned",0.59702599,0.336174995,1311.430054,779.2080078,1129.711182,"15",20.00374745,44.4754418,16.31013414,14.0586343,18.85561258,53.45632652,376.2090272,4.52306813586604e-09,"0"
"798","not-burned",1.052449942,0.37481901,7158.169922,856.065979,1922.651611,"4",25.18121972,50.80421747,9.293024339,16.81532442,80.3649636,174.6795179,635.9831244,0.00432222596261094,"0"
"799","not-burned",1.239410043,0.276596993,5022.689941,1247.5,30.39979172,"15",22.82220542,85.45554319,23.21253354,9.045792032,48.50595536,147.3908412,870.4534382,2.41109618647256e-10,"0"
"800","not-burned",0.310990989,0.493037999,5423.27002,192.2649994,2938.891113,"4",19.66662373,66.2602934,41.40381299,17.05213701,40.24380688,18.06696012,1085.562511,2.22044604925031e-16,"0"
"801","not-burned",0.477797002,0.409922004,6568.959961,949.7199707,2598.426514,"4",24.90041302,82.51749896,27.78218922,15.62426556,45.51485191,183.2401537,893.7152431,1.7838599283571e-13,"0"
"802","not-burned",1.189970016,0.358745009,4018.76001,1548,961.3258057,"15",29.36077337,40.71129325,24.30999166,6.99873775,85.25454525,70.80898224,1033.438579,1.5685864857911e-08,"0"
"803","not-burned",1.558269978,0.436984003,3762.330078,1082.51001,1961.198975,"4",25.64272111,91.58017257,36.2629932,11.83062767,47.81672427,103.5987883,616.7768944,2.22044604925031e-16,"0"
"804","not-burned",6.985020161,0.568289995,3602.72998,1305.780029,3673.472412,"4",28.17799746,54.91748797,0.188592527,5.115224623,91.28132925,314.8071018,526.1463361,0.840344392217905,"0"
"805","not-burned",0.732330978,0.371060997,5301.259766,1523.630005,491.1236572,"15",28.75839395,77.30060016,17.36730366,14.07681795,37.9481939,242.703029,867.0521802,1.82252152335235e-09,"0"
"806","not-burned",1.190919995,0.29755801,5047.189941,3159.969971,426.6813965,"15",25.17836214,35.0954695,39.70853858,13.92568917,64.76401464,94.09216138,310.6721157,2.22044604925031e-16,"0"
"807","not-burned",0.982234001,0.444651008,5159.72998,1903.810059,1223.567993,"4",21.74930998,85.9580124,7.630860986,11.35587668,64.08153718,333.516478,925.7399068,0.000320216881345644,"0"
"808","not-burned",0.330776989,0.375573993,3589.23999,2407.540039,192.2651672,"4",27.58550114,62.65928307,31.49487783,16.19632111,66.0817603,324.1186234,29.14134719,2.22044604925031e-16,"0"
"809","not-burned",0.649218023,0.291967005,5143.319824,3073.98999,280.2722168,"15",20.95967788,69.62515982,32.78499469,16.04430077,79.6385807,227.1595756,1181.065479,1.2571209048892e-13,"0"
"810","not-burned",4.24394989,0.584321976,3203.969971,580.7869873,3457.032471,"4",21.28650269,65.99814516,26.33966256,9.791729472,27.57615895,107.4635111,489.3266733,2.22044604925031e-16,"0"
"811","not-burned",5.230130196,0.51542002,2954.419922,607.9959717,3211.605225,"3",27.83597757,57.78430664,11.24870503,5.142033391,72.18780905,271.6789042,419.9478296,2.40784878693714e-05,"0"
"812","not-burned",1.829149961,0.304046988,5166.620117,2583.97998,531.7791748,"15",22.80257487,54.72231055,1.715365329,14.25002634,86.64589604,98.76942668,1201.688693,0.984033149531186,"0"
"813","burned",1.332360029,0.264,2065.840088,1375.73999,1225.454834,"41",29.27121212,34.88636364,0,9.735606061,92.03118046,251.4701185,1076.500285,0.998585578071827,"0"
"814","burned",0.832222998,0.404,5630.609863,214.9589996,2000.389404,"4",24.01098485,48.48106061,0,10.25265152,89.41234628,149.0830804,837.979762,0.998151131306158,"0"
"815","burned",2.047859907,0.3176,3787.669922,2136,693.2219238,"15",25.58143939,40.96212121,0,8.644166667,89.88598595,153.9801435,849.398262,0.998301259806402,"0"
"816","burned",1.602890015,0.3438,7275.910156,590.257019,1704.829468,"15",24.01098485,48.48106061,0,10.25265152,89.41234628,149.0830804,837.979762,0.99858288997537,"0"
"817","burned",1.841400027,0.3176,3721.830078,2229.780029,590.2572021,"4",26.58560606,52.52651515,0.062870896,9.327992424,88.07373406,188.3452562,948.975512,0.996515959116652,"0"
"818","burned",2.0753901,0.3351,42.9917984,303.9979858,448.8475342,"15",29.27121212,34.88636364,0,9.735606061,92.03118046,251.4701185,1076.500285,0.997579708114704,"0"
"819","not-burned",2.099070072,0.652635992,1445.189941,192.2649994,5603.54834,"4",30.05300056,81.90699087,23.83003855,4.779246282,63.42508716,156.0796408,170.9590289,4.31142507171818e-11,"0"
"820","not-burned",2.780730009,0.534443021,280.2720032,2471.560059,1742.361572,"4",20.16486875,52.61074995,69.98896384,6.965693018,30.31630544,69.16314275,241.8879362,2.22044604925031e-16,"0"
"821","not-burned",4.235360146,0.535971999,859.8359985,245.0910034,8827.149414,"4",29.94672621,61.53900935,64.61083874,7.663255025,54.16438676,96.98047135,135.6332698,2.22044604925031e-16,"0"
"822","not-burned",0.392141998,0.603098989,2308.179932,1762.660034,12484.28809,"4",23.50891845,69.29741082,62.88556416,3.878138901,19.17343234,239.2793418,478.2932837,2.22044604925031e-16,"0"
"823","not-burned",4.239840031,0.530597985,607.9959717,1098.189941,2744.244385,"4",21.65452349,51.05762917,40.47073626,11.69486266,89.50778003,57.67592895,164.3250441,2.22044604925031e-16,"0"
"824","not-burned",2.101969957,0.483660996,395.196991,859.8359985,3082.544922,"12",21.82290995,33.35660964,40.87757885,6.700804399,56.58689202,28.06831031,678.8030981,2.22044604925031e-16,"0"
"825","burned",2.4375,0.6576,2204.97998,2597.360107,9225.973633,"4",27.95719697,51.12121212,0.042217912,7.305416667,88.82965458,24.80282647,300.63088,0.981845717795981,"0"
"826","burned",0.732096016,0.6944,2248.969971,91.19940186,6018.391113,"4",27.67613636,48.03030303,0.020458019,8.230681818,89.13272014,33.27189937,319.3197891,0.991874772484172,"0"
"827","burned",1.418089986,0.6009,2289.48999,60.79959869,5633.894043,"4",27.91401515,49.75,0.000186,10.52746212,89.00913035,30.38007567,313.1340846,0.995183470621737,"0"
"828","burned",2.285559893,0.6484,1866.310059,435.2590027,6159.46582,"4",27.91401515,49.75,0.000186,10.52746212,89.00913035,30.38007567,313.1340846,0.989027133896524,"0"
"829","burned",2.55802989,0.6425,2140.330078,177.2599945,5685.736328,"12",27.95719697,51.12121212,0.042217912,7.305416667,88.82965458,24.80282647,300.63088,0.992852272804794,"0"
"830","burned",3.190910101,0.7041,2182.870117,121.598999,6288.128906,"4",26.80795455,51.24621212,0.10656768,11.19837121,88.63141521,19.49964701,288.4274028,0.975515788686981,"0"
"831","burned",1.856639981,0.6944,2175.659912,151.9989929,5828.203613,"15",26.80795455,51.24621212,0.10656768,11.19837121,88.63141521,19.49964701,288.4274028,0.984083454302411,"0"
"832","burned",1.483639956,0.6944,2322.550049,0,5777.640137,"4",28.17045455,51.28787879,0.039986128,7.828636364,88.87862566,27.56025584,306.9055619,0.99084518814407,"0"
"833","burned",0.488976985,0.7309,2367.47998,60.79959869,6258.592773,"3",27.91401515,49.75,0.000186,10.52746212,89.00913035,30.38007567,313.1340846,0.98640865873146,"0"
"834","burned",0.397890002,0.7309,2433.5,121.598999,6269.289063,"4",28.17045455,51.28787879,0.039986128,7.828636364,88.87862566,27.56025584,306.9055619,0.989723078822707,"0"
"835","burned",0.905794024,0.6944,2254.100098,91.19940186,5893.5625,"4",26.80795455,51.24621212,0.10656768,11.19837121,88.63141521,19.49964701,288.4274028,0.987834257910713,"0"
