HAS_FIRE;Elevation;Slope;NDVI;Hydrography (m);Road (m);LULC;Pop. Density
1;627,3759766;2,618530035;0,452336013;212,798996;4686,299805;3;2,220340014
1;645,9810181;2,067450047;0,457329005;679,7600098;4420,950195;3;2,220340014
1;655,5380249;1,742720008;0,469565004;1384,439941;3686,409912;3;2,220340014
1;632,4559937;2,33713007;0,418884993;946,7960205;5716,450195;3;2,220340014
1;631,8690186;2,632750034;0,438657999;30,39979935;2128,199951;4;2,220340014
1;634,6710205;2,405139923;0,420345992;425,5969849;4751,029785;3;2,220340014
1;622,4730225;0,975136995;0,440535009;762,4229736;6967,990234;3;2,220340014
1;603,0120239;2,830559969;0,439267993;605,7119751;7482,299805;3;2,220340014
1;647,6870117;1,206629992;0,461887985;711,6409912;4322,870117;3;2,220340014
1;606,7800293;3,036070108;0,416565001;1191,810059;9743,5;3;2,220340014
1;606,6779785;2,308320045;0,404949993;299,4030151;7554,390137;3;2,220340014
1;636,2109985;2,30666995;0,376854986;85,9835968;2163,72998;3;2,220340014
1;641,6729736;0,973268986;0,420401007;280,2720032;2271,860107;3;2,220340014
1;658,6209717;2,307749987;0,503726006;992,5430298;4289,819824;3;2,220340014
1;638,4180298;2,108599901;0,437678993;494,8729858;2796,949951;3;2,220340014
1;640,0280151;1,619029999;0,412948012;515,9019775;2134,48999;3;2,220340014
1;632,7650146;1,318079948;0,404287994;85,9835968;2103,090088;4;2,220340014
1;611,6560059;4,431910038;0,421355009;355,8200073;5435,790039;3;2,220340014
1;608,2290039;2,822289944;0,396569014;395,196991;8788,849609;3;2,220340014
1;613,2080078;1,359809995;0,405694991;516,7960205;8761,259766;3;2,220340014
1;611,6669922;2,186310053;0,471522987;273,5979919;7416,370117;4;2,220340014
1;605,2180176;2,123739958;0,425790012;598,8060303;8511,129883;3;2,220340014
1;647,1640015;1,978469968;0,469211996;480,6629944;2271,659912;3;2,220340014
1;604,4219971;3,086740017;0,442707002;334,3980103;8803,400391;3;2,220340014
1;644,5679932;0,960488021;0,431428999;644,8770142;3636,429932;3;2,220340014
1;667,2789917;2,518239975;0,476511002;932,5360107;2406,959961;3;2,220340014
1;598,4349976;2,607219934;0,62816;303,9979858;9173,490234;4;2,220340014
1;630,7659912;2,063699961;0,478964001;151,9989929;2251,429932;3;2,220340014
1;662,7890015;2,802439928;0,454165012;864,1240234;2615,439941;3;2,220340014
