HAS_FIRE;datahora;latitude;longitude;elev_cave;slope_cave;NDVI_cave;hidro_dist;road_dista;censo_cave;Classe_cav
1;2006/09/13 20:45:29;-14,90999985;-44,77299881;797,9790039;2,086339951;0,345699012;2339,01001;354,5190125;0,292205989;2
1;2007/09/26 16:50:00;-14,93999958;-44,58000183;730,6970215;2,246680021;0,672663987;184,9149933;3347,429932;0;4
1;2007/10/18 19:15:00;-14,90999985;-44,5;775,4500122;2,533910036;0,582006991;3116,97998;1128,069946;0;4
1;2007/09/25 13:19:00;-14,92000008;-44,5870018;727,5980225;1,831969976;0,627216995;666,7189941;1349,290039;0;4
1;2007/10/18 13:25:00;-14,90999985;-44,48799896;801,9260254;1,233260036;0,550770998;2330,5;1711,319946;0;4
1;2007/10/18 19:45:00;-14,90999985;-44,51599884;779,1519775;2,159199953;0,602998972;1666,449951;730,8610229;0;4
1;2007/09/26 01:33:00;-14,93000031;-44,58200073;720,2910156;0,309623003;0,596522987;60,79959869;2743,570068;0,0123089;4
1;2007/09/26 16:50:00;-14,93000031;-44,58200073;718,7589722;1,038120031;0,744000018;30,39979935;2325,139893;0;5
1;2007/09/09 18:00:00;-14,90999985;-44,7159996;737,2089844;4,722199917;0,608862996;259,7359924;1469,290039;0,292205989;4
1;2007/09/26 04:36:00;-14,92000008;-44,58300018;732,2639771;0,919496;0,613421977;887,8610229;1253,420044;0;4
1;2007/09/26 19:45:00;-14,90999985;-44,63299942;724,4439697;1,765580058;0,596561015;60,79959869;1825;0,0123089;5
1;2007/11/15 16:37:00;-14,90999985;-44,61700058;718,5700073;0,51828903;0,487681001;125,3420029;472,9100037;0;5
1;2007/09/26 16:50:00;-14,90999985;-44,61600113;725,1309814;2,87477994;0,581996024;151,9989929;177,2599945;0,0123089;4
1;2007/09/26 04:30:20;-14,90999985;-44,69300079;759,2620239;1,105489969;0,710165977;945,8200073;1930,810059;0,0123089;4
1;2007/09/26 04:36:00;-14,93000031;-44,58499908;717,7990112;2,287250042;0,556505978;128,9750061;2397,149902;0,0123089;4
1;2007/10/18 16:13:00;-14,92000008;-44,48799896;802,7410278;2,293709993;0,603285015;2002,23999;1055,27002;0;4
1;2007/09/26 16:50:00;-14,92000008;-44,60400009;728,5369873;0,883192003;0,717034996;323,1539917;1334,819946;0,0123089;4
1;2007/09/26 04:36:00;-14,93000031;-44,57300186;719,0310059;0,547549009;0,472144008;442,6279907;2199,949951;0;3
