,Foco,Temperatura,Wind_Speed,RH,Prec,Numero de focos
17/06/2011,0,26.61296657,9.64407307,43.69668891,0.00E+00,0
18/06/2011,0,27.59195835,6.34157768,44.5944269,0.116316571,0
19/06/2011,1,28.86751249,6.771361969,36.73976838,0.00E+00,2
20/06/2011,0,28.86521356,8.963044274,36.58556206,0.00E+00,0
21/06/2011,0,28.28623612,9.133919517,38.10030175,0.00E+00,0
22/06/2011,0,28.64540019,8.709727903,33.52324387,0.00E+00,0
23/06/2011,0,28.16722213,9.67232095,37.75145877,0.00E+00,0
24/06/2011,1,27.95625081,8.564722569,39.31259361,0.00E+00,3
25/06/2011,0,27.96420866,7.926690925,39.27215678,0.001971467,0
26/06/2011,0,29.02666939,7.434758173,37.33560371,0.00E+00,0
27/06/2011,0,28.72427128,5.985629613,39.96147696,0.003942935,0
28/06/2011,0,29.19307677,8.699775131,38.06440156,0.00E+00,0
29/06/2011,0,28.13998861,10.51608994,39.63235739,0.00E+00,0
30/06/2011,0,28.38420603,13.36690458,46.19226473,0.068015622,0
01/07/2011,0,28.91058972,9.888654015,42.6808934,0.006363029,0
02/07/2011,0,28.47182614,9.581311991,30.49188328,1.83E-12,0
03/07/2011,0,28.60607854,8.893268332,37.90951631,1.83E-12,0
04/07/2011,0,29.7274204,5.457211273,32.71395272,1.83E-12,0
05/07/2011,0,30.01255672,7.445227339,35.55321592,1.83E-12,0
06/07/2011,0,30.69684959,7.616127229,34.2158291,1.83E-12,0
07/07/2011,0,31.02296461,6.962543814,25.9313591,1.83E-12,0
08/07/2011,0,30.10531604,8.870953963,30.6442057,1.83E-12,0
09/07/2011,0,28.78319569,10.82659745,39.86606317,0.053025241,0
10/07/2011,1,27.5937846,11.72396898,39.05167498,1.83E-12,1
11/07/2011,0,27.12501569,9.190072322,31.03586629,1.83E-12,0
12/07/2011,0,27.66922656,9.011384876,33.54297459,1.83E-12,0
13/07/2011,0,27.77450238,8.581814295,35.10201688,1.83E-12,0
14/07/2011,0,28.52875053,7.763729907,31.83773949,1.83E-12,0
15/07/2011,0,29.43885491,8.233105546,34.77053512,1.83E-12,0
16/07/2011,0,29.47263233,9.099163085,38.55175166,1.83E-12,0
17/07/2011,0,29.10022338,9.078911951,38.48195966,1.83E-12,0
18/07/2011,0,29.25590815,8.549990409,33.40521664,1.83E-12,0
19/07/2011,0,29.68369836,9.984960466,33.61358581,1.83E-12,0
20/07/2011,0,27.69734583,11.89907171,30.95583272,1.83E-12,0
21/07/2011,0,27.7957633,9.272577,34.74980608,1.83E-12,0
22/07/2011,0,28.21738098,9.371252655,30.62256828,1.83E-12,0
23/07/2011,1,26.99299226,12.80362962,33.88901811,1.83E-12,1
24/07/2011,0,26.78295498,17.07573384,36.41120255,1.83E-12,0
25/07/2011,0,26.97310301,16.72157432,32.80472666,0.489953225,0
26/07/2011,0,25.5956014,15.19195734,45.42349098,1.771043043,0
27/07/2011,0,25.92171642,13.10364769,44.86144489,4.024615778,0
28/07/2011,0,26.59400716,10.87137335,40.23376183,0.555704524,0
29/07/2011,0,28.27533413,9.022163716,33.85254771,1.83E-12,0
30/07/2011,0,29.58750986,8.936023077,35.76833067,1.83E-12,0
31/07/2011,0,30.40914139,9.11211691,28.74713124,1.83E-12,0
01/08/2011,1,32.15724633,7.256320331,30.55276471,0.00E+00,1
02/08/2011,1,33.52251899,6.589269391,27.97344359,0.00E+00,1
03/08/2011,0,34.19426126,7.003941634,26.98860699,0.00E+00,0
04/08/2011,0,30.80796334,11.73918759,35.8040922,0.00E+00,0
05/08/2011,0,31.93690503,12.24381642,34.6642764,0.00E+00,0
06/08/2011,0,29.92361105,12.74549741,37.78122182,0.025984827,0
07/08/2011,0,29.98124418,11.49280869,38.31331322,0.472245993,0
08/08/2011,0,30.50749793,8.96947828,32.47456628,0.00E+00,0
09/08/2011,1,31.45897174,7.659950351,30.50300598,0.00E+00,3
10/08/2011,1,33.10397594,7.153734873,24.19553299,0.00E+00,2
11/08/2011,1,31.88138042,10.40235182,30.54713942,0.00E+00,2
12/08/2011,0,30.09440192,12.05039217,34.79277855,0.00E+00,0
13/08/2011,1,29.92132681,10.51950349,27.7987129,0.00E+00,7
14/08/2011,0,30.69234566,9.388491113,23.65123696,0.00E+00,0
15/08/2011,1,29.96015889,12.15413942,17.27796808,0.00E+00,6
16/08/2011,1,27.97392437,12.3762783,30.53253297,0.00E+00,2
17/08/2011,0,29.4985667,9.152615519,33.6209553,0.00E+00,0
18/08/2011,1,29.79780214,9.564054121,23.67463497,0.00E+00,5
19/08/2011,1,30.79601501,9.275672646,30.75196025,0.00E+00,2
20/08/2011,0,32.10523594,9.230234743,26.00478055,0.00E+00,0
21/08/2011,0,32.2171637,11.08135626,26.17867676,0.00E+00,0
22/08/2011,0,28.54762003,16.85748015,31.85147799,0.016946627,0
23/08/2011,1,30.17558029,11.45944073,28.14778823,0.00E+00,1
24/08/2011,0,29.56006547,10.50109701,33.81100894,0.00E+00,0
25/08/2011,1,29.57060812,12.25550067,33.56602967,0.00E+00,1
26/08/2011,1,31.08049074,9.632277031,29.21690587,0.00E+00,3
27/08/2011,1,30.72871779,12.44758422,27.66316938,0.00E+00,6
28/08/2011,1,29.93766791,12.04046038,32.18961247,0.00E+00,2
29/08/2011,1,30.07155952,10.61172596,33.81406093,0.00E+00,12
30/08/2011,1,31.70514252,8.828169997,28.87844294,0.00E+00,2
31/08/2011,1,34.07161514,7.762972723,25.15500936,0.00E+00,2
01/09/2011,0,32.69065171,11.084412,28.80495649,0,0
02/09/2011,1,31.36726249,13.06738535,32.56436591,0,5
03/09/2011,1,29.11314747,13.09811742,27.70511033,0,10
04/09/2011,0,29.78404781,11.63175379,22.31757984,0,0
05/09/2011,1,30.4883297,9.643112564,23.09263195,0,1
06/09/2011,0,31.62898074,9.085217234,20.29973131,0,0
07/09/2011,1,32.00805061,9.963752218,23.5737818,0,16
08/09/2011,0,32.12712295,9.461098444,23.86906095,0,0
09/09/2011,1,33.83422793,9.651337207,19.06939958,0,2
10/09/2011,1,34.82104851,11.26459636,17.16843479,0,5
11/09/2011,1,34.27059706,10.73691244,18.24243765,0,33
12/09/2011,1,33.51830768,11.10388725,21.01452295,0,9
13/09/2011,0,32.10475387,12.38866496,26.66231493,0,0
14/09/2011,1,31.68163411,10.75167868,30.69665915,0,3
15/09/2011,1,29.45401784,14.25652045,30.83924317,0,5
16/09/2011,1,29.5832423,16.14973228,27.31768493,0,10
17/09/2011,0,28.31371095,16.53327365,32.74901055,0.004892141,0
18/09/2011,0,28.27103762,14.00510591,30.93673312,0,0
19/09/2011,1,27.97198023,15.2416529,28.7600071,0,1
20/09/2011,1,28.70190053,10.32183568,27.52337109,0,4
21/09/2011,0,31.79416779,9.115217571,23.29144574,0,0
22/09/2011,0,33.87105087,9.804749289,19.05468326,0,0
23/09/2011,1,34.15806338,11.19479298,18.47945917,0,23
24/09/2011,1,36.0189988,9.010173579,19.5267912,0,2
25/09/2011,1,34.64880659,10.96196883,23.51769433,0.339514605,40
26/09/2011,0,27.78872584,15.65867404,35.76948491,0.275916769,0
27/09/2011,1,30.6395791,10.89256897,34.91495642,0.228952212,10
28/09/2011,1,31.4271428,10.49372946,29.77517411,0.207426791,2
29/09/2011,1,32.5554048,11.48426536,24.25152836,0,5
30/09/2011,1,32.48778135,12.29677038,26.16659696,0,6
01/10/2011,0,32.5589491,9.659666832,27.46688856,1.83E-12,0
02/10/2011,1,34.46421375,7.887473894,26.35597858,9.74E-04,2
03/10/2011,0,28.38873701,8.283271917,40.67212952,50.10971618,0
04/10/2011,0,22.44630457,9.894897851,80.29592125,114.3623372,0
05/10/2011,0,25.31482273,11.22957085,60.54391325,56.22664679,0
06/10/2011,0,26.77687257,8.874316763,56.87517061,25.59326882,0
07/10/2011,1,31.56055784,9.824305774,40.16228569,0.07308743,2
08/10/2011,0,32.05839588,12.51850022,37.59829242,0.043852458,0
09/10/2011,0,32.92965237,9.388830793,39.47876286,1.660546399,0
10/10/2011,0,33.28198817,5.781410965,33.91359908,0.105245899,0
11/10/2011,1,30.65496219,7.110811473,41.20584588,3.118396993,1
12/10/2011,0,28.71727498,8.79957643,55.97734127,42.61679291,0
13/10/2011,0,29.72508954,7.02021801,53.29659702,16.2829048,0
14/10/2011,0,31.78575888,7.532997392,48.83621734,16.93874267,0
15/10/2011,0,29.82762789,6.577347562,58.3269146,64.64826767,0
16/10/2011,0,28.2659146,6.362754049,60.20537182,133.9302784,0
17/10/2011,0,30.86339293,5.573979046,54.40832075,27.80635619,0
18/10/2011,0,25.1833756,5.310934477,81.19763019,450.8032653,0
19/10/2011,0,22.77276621,14.20196116,62.52942561,45.86382378,0
20/10/2011,0,24.96328551,13.26949017,57.92157547,13.25123822,0
21/10/2011,0,21.97497956,13.16768681,62.04547905,3.538406088,0
22/10/2011,0,25.47214402,13.41607258,58.47947627,1.071948966,0
23/10/2011,0,29.5307139,12.56805331,52.27670817,9.542294799,0
24/10/2011,0,28.53982934,13.74187069,53.60064796,8.726639086,0
25/10/2011,0,29.70656236,11.63188668,48.89805172,1.540683014,0
26/10/2011,0,31.72746216,8.579403404,45.99990707,6.486265746,0
27/10/2011,0,32.36744836,4.932374006,45.53617257,19.188861,0
28/10/2011,0,32.79628863,6.068193384,47.15888523,16.77989932,0
29/10/2011,0,33.7253627,6.961511994,35.97890751,1.735582827,0
30/10/2011,0,32.23073057,7.995617249,39.17332227,0.44632057,0
31/10/2011,0,31.56087728,6.54377501,41.98234039,6.425846804,0
01/11/2011,0,23.98998244,10.399821,70.26464501,166.0884362,0
02/11/2011,0,25.40593881,12.71676338,59.40603993,13.42609165,0
03/11/2011,0,26.37874438,11.49147579,54.58997191,2.41006715,0
04/11/2011,0,28.68289554,11.40243314,42.20835933,0.072058125,0
05/11/2011,0,27.77241943,11.3775539,39.72466729,1.83E-12,0
06/11/2011,0,29.88317451,9.261074151,38.04882361,0.329250204,0
07/11/2011,0,29.23352097,5.817411773,39.80297994,20.01109573,0
08/11/2011,0,20.56754176,8.169212549,86.68091139,179.7284851,0
09/11/2011,0,22.30694142,10.37572227,77.41631524,85.20707046,0
10/11/2011,0,27.40718045,8.266125555,61.60400191,78.07996756,0
11/11/2011,0,28.77304025,7.631281239,49.39565763,2.638435978,0
12/11/2011,1,30.56326463,8.760398919,48.42922058,10.39299886,1
13/11/2011,0,31.30990747,9.862005589,43.87033652,5.20813959,0
14/11/2011,0,31.11738517,10.78749562,45.69759927,3.815754889,0
15/11/2011,0,26.65442117,6.617555665,62.88508716,54.49368022,0
16/11/2011,0,28.36396677,6.827088811,54.28028476,62.16288194,0
17/11/2011,0,32.17698597,3.766528334,50.83263251,35.68207513,0
18/11/2011,0,31.30422792,7.715393782,50.58653058,52.08361307,0
19/11/2011,0,29.89264043,10.13768971,56.83100177,93.33744418,0
20/11/2011,0,27.64877992,7.315421151,68.62927216,223.2793075,0
21/11/2011,0,30.03652245,8.352063248,53.42620774,23.60291614,0
22/11/2011,0,29.18910395,7.508206656,57.20080124,7.909765001,0
23/11/2011,0,26.64626591,6.974129365,68.61201326,168.9829557,0
24/11/2011,0,28.77391402,7.22250672,65.01756045,163.5098639,0
25/11/2011,0,27.52048026,5.641894082,64.3117117,286.2714122,0
26/11/2011,0,22.90445957,6.473750598,87.62333974,256.8173763,0
27/11/2011,0,24.3349789,5.25693725,73.65133696,53.13233594,0
28/11/2011,0,23.26227144,6.268651626,85.76806099,247.0030596,0
29/11/2011,0,28.12324108,8.48782189,59.35662272,41.92785173,0
30/11/2011,0,27.25324999,7.841155607,63.70874756,48.04503229,0
01/12/2011,0,23.31683789,5.537479343,82.34759845,182.1580507,0
02/12/2011,0,25.96212399,6.642959621,70.87047858,43.17194627,0
03/12/2011,0,25.70196174,5.400180756,78.8363627,223.8573695,0
04/12/2011,0,23.53803644,7.452204798,78.87097955,169.3341545,0
05/12/2011,0,27.07994233,8.184657529,67.34423959,59.92097392,0
06/12/2011,0,29.3028438,10.00234164,52.72863053,3.598880941,0
07/12/2011,0,30.67915668,9.947272914,44.43203595,1.077751779,0
08/12/2011,0,30.66111513,8.368785938,46.22708176,1.559252574,0
09/12/2011,0,31.9044663,7.900250937,43.96323212,0.050625084,0
10/12/2011,0,30.90520675,8.957217714,49.71426694,23.59016394,0
11/12/2011,0,26.6639253,5.938136855,69.91369001,160.2115145,0
12/12/2011,0,29.20778451,6.948153147,61.31264478,33.925556,0
13/12/2011,0,28.89228472,7.771602805,65.19792684,163.4256448,0
14/12/2011,0,25.21559781,7.411241006,78.71534322,75.88137526,0
15/12/2011,0,27.00626001,8.02646606,75.42306638,148.5092452,0
16/12/2011,0,26.56871441,6.721104018,71.11472237,94.11990537,0
17/12/2011,0,24.6217426,5.635728399,79.17372215,185.7726817,0
18/12/2011,0,27.82722656,5.8352281,67.05259258,176.0605406,0
19/12/2011,0,27.86907083,5.927467764,60.55441355,71.16199247,0
20/12/2011,0,28.54130826,7.3519187,62.83558408,46.47720172,0
21/12/2011,0,27.90257658,5.136872648,66.10383666,38.19831306,0
22/12/2011,0,24.78351016,7.583586302,71.17661245,71.01911724,0
23/12/2011,0,29.85485473,7.841412585,53.40526327,9.615390873,0
24/12/2011,0,30.4872188,8.188038813,51.78026974,5.178383548,0
25/12/2011,0,29.94021099,7.836187273,53.59504145,1.832628025,0
26/12/2011,0,29.39214191,5.477911916,55.65966122,4.717132787,0
27/12/2011,0,29.73599272,5.339830352,57.10711897,27.02704462,0
28/12/2011,0,29.36955207,4.774010383,61.23967392,109.1994303,0
29/12/2011,0,28.96399611,6.772160351,56.66971513,102.6249194,0
30/12/2011,0,27.3934712,7.231662887,69.83394132,101.786793,0
31/12/2011,0,27.10283539,4.213433882,69.04307253,61.35085128,0
