datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
2001/09/04 20:11:25,NOAA-12,Brasil,MINAS GERAIS,ITACARAMBI,Cerrado,,,,-15.0317,-44.3017,,APA CAVERNAS DO PERUACU
2001/09/21 20:15:23,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.1800,-44.1583,,APA CAVERNAS DO PERUACU
2001/12/12 21:34:06,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Caatinga,,,,-15.2350,-44.1683,,APA CAVERNAS DO PERUACU
2001/09/22 13:37:00,TERRA_M-T,Brasil,MINAS GERAIS,BONITO DE MINAS,Cerrado,,,,-15.1270,-44.6800,,APA CAVERNAS DO PERUACU
2001/12/11 13:35:00,TERRA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.1980,-44.1760,,APA CAVERNAS DO PERUACU
2001/06/04 13:28:00,TERRA_M-T,Brasil,MINAS GERAIS,ITACARAMBI,Cerrado,,,,-15.0890,-44.1400,,APA CAVERNAS DO PERUACU
2001/06/04 13:28:00,TERRA_M-T,Brasil,MINAS GERAIS,ITACARAMBI,Cerrado,,,,-15.0880,-44.1490,,APA CAVERNAS DO PERUACU
2001/12/11 13:35:00,TERRA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.2060,-44.1710,,APA CAVERNAS DO PERUACU
2001/09/20 13:50:00,TERRA_M-T,Brasil,MINAS GERAIS,CONEGO MARINHO,Cerrado,,,,-14.8150,-44.6490,,APA CAVERNAS DO PERUACU
2001/09/02 14:03:00,TERRA_M-T,Brasil,MINAS GERAIS,CONEGO MARINHO,Cerrado,,,,-14.8090,-44.6240,,APA CAVERNAS DO PERUACU
2001/09/20 13:50:00,TERRA_M-T,Brasil,MINAS GERAIS,CONEGO MARINHO,Cerrado,,,,-14.8170,-44.6300,,APA CAVERNAS DO PERUACU
2001/09/22 13:37:00,TERRA_M-T,Brasil,MINAS GERAIS,CONEGO MARINHO,Cerrado,,,,-14.8080,-44.6290,,APA CAVERNAS DO PERUACU
2001/10/06 13:49:00,TERRA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.2100,-44.1930,,APA CAVERNAS DO PERUACU
2001/09/20 13:50:00,TERRA_M-T,Brasil,MINAS GERAIS,CONEGO MARINHO,Cerrado,,,,-14.8160,-44.6230,,APA CAVERNAS DO PERUACU
2001/08/27 21:38:40,NOAA-12,Brasil,MINAS GERAIS,SAO JOAO DAS MISSOES,Cerrado,,,,-14.9050,-44.3617,,APA CAVERNAS DO PERUACU
2001/09/21 20:15:23,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.2067,-44.3217,,APA CAVERNAS DO PERUACU
2001/06/11 19:47:52,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.1967,-44.2667,,APA CAVERNAS DO PERUACU
2001/10/06 13:49:00,TERRA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.2070,-44.1990,,APA CAVERNAS DO PERUACU
2001/07/11 13:46:00,TERRA_M-T,Brasil,MINAS GERAIS,ITACARAMBI,Cerrado,,,,-15.0780,-44.1550,,APA CAVERNAS DO PERUACU
2001/09/21 20:15:23,NOAA-12,Brasil,MINAS GERAIS,ITACARAMBI,Cerrado,,,,-15.1783,-44.1433,,APA CAVERNAS DO PERUACU
2001/10/27 19:33:43,NOAA-12,Brasil,MINAS GERAIS,BONITO DE MINAS,Cerrado,,,,-14.9733,-44.8433,,APA CAVERNAS DO PERUACU
2001/06/11 13:34:00,TERRA_M-T,Brasil,MINAS GERAIS,ITACARAMBI,Cerrado,,,,-15.0780,-44.1490,,APA CAVERNAS DO PERUACU
2001/10/26 19:57:25,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Caatinga,,,,-15.2233,-44.1267,,APA CAVERNAS DO PERUACU
2001/10/24 13:37:00,TERRA_M-T,Brasil,MINAS GERAIS,JANUARIA,Caatinga,,,,-15.1970,-44.1170,,APA CAVERNAS DO PERUACU
2001/09/02 14:03:00,TERRA_M-T,Brasil,MINAS GERAIS,CONEGO MARINHO,Cerrado,,,,-14.8170,-44.6320,,APA CAVERNAS DO PERUACU
2001/10/26 19:57:25,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Caatinga,,,,-15.2233,-44.1183,,APA CAVERNAS DO PERUACU
2001/09/22 13:37:00,TERRA_M-T,Brasil,MINAS GERAIS,CONEGO MARINHO,Cerrado,,,,-14.8100,-44.6180,,APA CAVERNAS DO PERUACU
2001/09/29 13:43:00,TERRA_M-T,Brasil,MINAS GERAIS,JANUARIA,Caatinga,,,,-15.2110,-44.1230,,APA CAVERNAS DO PERUACU
2001/07/11 13:46:00,TERRA_M-T,Brasil,MINAS GERAIS,ITACARAMBI,Cerrado,,,,-15.0880,-44.1450,,APA CAVERNAS DO PERUACU
2001/10/24 13:37:00,TERRA_M-T,Brasil,MINAS GERAIS,ITACARAMBI,Caatinga,,,,-15.1960,-44.1300,,APA CAVERNAS DO PERUACU
2001/09/04 20:11:25,NOAA-12,Brasil,MINAS GERAIS,ITACARAMBI,Cerrado,,,,-15.0300,-44.2933,,APA CAVERNAS DO PERUACU
2001/09/25 01:38:00,TERRA_M-M,Brasil,MINAS GERAIS,JANUARIA,Caatinga,,,,-15.2030,-44.1510,,APA CAVERNAS DO PERUACU
2001/09/20 13:50:00,TERRA_M-T,Brasil,MINAS GERAIS,CONEGO MARINHO,Cerrado,,,,-14.8140,-44.6420,,APA CAVERNAS DO PERUACU
2001/09/21 20:15:23,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.2083,-44.3300,,APA CAVERNAS DO PERUACU
2001/09/19 13:07:00,TERRA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.2570,-44.2150,,APA CAVERNAS DO PERUACU
2001/09/21 20:15:23,NOAA-12,Brasil,MINAS GERAIS,ITACARAMBI,Cerrado,,,,-15.1783,-44.1500,,APA CAVERNAS DO PERUACU
2001/10/24 13:37:00,TERRA_M-T,Brasil,MINAS GERAIS,JANUARIA,Caatinga,,,,-15.2060,-44.1310,,APA CAVERNAS DO PERUACU
2001/08/21 13:39:00,TERRA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.2240,-44.2210,,APA CAVERNAS DO PERUACU
2002/10/11 13:32:00,TERRA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.0030,-44.4960,,APA CAVERNAS DO PERUACU
2002/09/13 20:13:26,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.0483,-44.5216,,APA CAVERNAS DO PERUACU
2002/09/19 19:30:15,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Caatinga,,,,-15.2883,-44.1816,,APA CAVERNAS DO PERUACU
2002/10/27 16:17:00,AQUA_M-T,Brasil,MINAS GERAIS,JANUARIA,Caatinga,,,,-15.2440,-44.1490,,APA CAVERNAS DO PERUACU
2002/10/09 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.0580,-44.5480,,APA CAVERNAS DO PERUACU
2002/10/10 17:13:00,AQUA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.0930,-44.3920,,APA CAVERNAS DO PERUACU
2002/10/01 19:40:47,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.0900,-44.3983,,APA CAVERNAS DO PERUACU
2002/10/14 16:48:00,AQUA_M-T,Brasil,MINAS GERAIS,JANUARIA,Caatinga,,,,-15.1950,-44.1120,,APA CAVERNAS DO PERUACU
2002/09/28 16:48:00,AQUA_M-T,Brasil,MINAS GERAIS,CONEGO MARINHO,Cerrado,,,,-14.8300,-44.6610,,APA CAVERNAS DO PERUACU
2002/10/22 19:34:40,NOAA-12,Brasil,MINAS GERAIS,CONEGO MARINHO,Cerrado,,,,-14.9466,-44.5766,,APA CAVERNAS DO PERUACU
2002/10/21 19:57:38,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.1850,-44.1866,,APA CAVERNAS DO PERUACU
2002/10/08 13:02:00,TERRA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.0430,-44.4610,,APA CAVERNAS DO PERUACU
2002/10/02 16:24:00,AQUA_M-T,Brasil,MINAS GERAIS,ITACARAMBI,Cerrado,,,,-15.2340,-44.0770,,APA CAVERNAS DO PERUACU
2002/10/04 20:07:43,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.2066,-44.3150,,APA CAVERNAS DO PERUACU
2002/10/12 17:00:00,AQUA_M-T,Brasil,MINAS GERAIS,CONEGO MARINHO,Cerrado,,,,-14.7910,-44.6800,,APA CAVERNAS DO PERUACU
2002/10/12 17:00:00,AQUA_M-T,Brasil,MINAS GERAIS,CONEGO MARINHO,Cerrado,,,,-14.8000,-44.6620,,APA CAVERNAS DO PERUACU
2002/10/13 17:45:00,GOES-08,Brasil,MINAS GERAIS,CONEGO MARINHO,Cerrado,,,,-15.1000,-44.5833,,APA CAVERNAS DO PERUACU
2002/08/31 17:45:00,GOES-08,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.1000,-44.5000,,APA CAVERNAS DO PERUACU
2002/09/28 16:48:00,AQUA_M-T,Brasil,MINAS GERAIS,CONEGO MARINHO,Cerrado,,,,-14.8310,-44.6710,,APA CAVERNAS DO PERUACU
2002/10/01 17:19:00,AQUA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.2260,-44.3200,,APA CAVERNAS DO PERUACU
2002/10/02 16:24:00,AQUA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.1840,-44.3190,,APA CAVERNAS DO PERUACU
2002/10/14 19:27:43,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-14.9850,-44.4550,,APA CAVERNAS DO PERUACU
2002/09/30 16:36:00,AQUA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.2720,-44.2690,,APA CAVERNAS DO PERUACU
2002/09/10 17:00:00,AQUA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.0660,-44.3860,,APA CAVERNAS DO PERUACU
2002/10/01 19:40:47,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.0933,-44.3583,,APA CAVERNAS DO PERUACU
2002/10/09 13:44:00,TERRA_M-T,Brasil,MINAS GERAIS,CONEGO MARINHO,Cerrado,,,,-15.0270,-44.5740,,APA CAVERNAS DO PERUACU
2002/10/04 20:07:43,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.1966,-44.3183,,APA CAVERNAS DO PERUACU
2002/09/14 16:36:00,AQUA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.1230,-44.4520,,APA CAVERNAS DO PERUACU
2002/10/11 16:18:00,AQUA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.0010,-44.4940,,APA CAVERNAS DO PERUACU
2002/10/12 17:00:00,AQUA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-14.9920,-44.3760,,APA CAVERNAS DO PERUACU
2002/07/09 13:21:00,TERRA_M-T,Brasil,MINAS GERAIS,ITACARAMBI,Cerrado,,,,-15.1180,-44.1240,,APA CAVERNAS DO PERUACU
2002/10/12 17:00:00,AQUA_M-T,Brasil,MINAS GERAIS,CONEGO MARINHO,Cerrado,,,,-14.8120,-44.6600,,APA CAVERNAS DO PERUACU
2002/08/31 16:24:00,AQUA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.0920,-44.5000,,APA CAVERNAS DO PERUACU
2002/09/21 16:42:00,AQUA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.0660,-44.5340,,APA CAVERNAS DO PERUACU
2002/09/17 17:06:00,AQUA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.1100,-44.5130,,APA CAVERNAS DO PERUACU
2002/10/11 13:32:00,TERRA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-14.9790,-44.3780,,APA CAVERNAS DO PERUACU
2002/08/20 16:42:00,AQUA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.0710,-44.4720,,APA CAVERNAS DO PERUACU
2002/08/15 13:39:00,TERRA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.0540,-44.5180,,APA CAVERNAS DO PERUACU
2002/09/18 19:53:17,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.0516,-44.3416,,APA CAVERNAS DO PERUACU
2002/12/06 19:46:38,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Caatinga,,,,-15.2183,-44.1350,,APA CAVERNAS DO PERUACU
2002/09/18 13:27:00,TERRA_M-T,Brasil,MINAS GERAIS,ITACARAMBI,Cerrado,,,,-15.1540,-44.1650,,APA CAVERNAS DO PERUACU
2002/10/05 16:54:00,AQUA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.2110,-44.3380,,APA CAVERNAS DO PERUACU
2002/08/20 16:42:00,AQUA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.0730,-44.4820,,APA CAVERNAS DO PERUACU
2002/11/17 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,CONEGO MARINHO,Cerrado,,,,-14.9580,-44.4890,,APA CAVERNAS DO PERUACU
2002/09/05 16:42:00,AQUA_M-T,Brasil,MINAS GERAIS,SAO JOAO DAS MISSOES,Cerrado,,,,-14.9390,-44.2850,,APA CAVERNAS DO PERUACU
2002/09/18 19:53:17,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.1550,-44.3550,,APA CAVERNAS DO PERUACU
2002/09/30 16:36:00,AQUA_M-T,Brasil,MINAS GERAIS,CONEGO MARINHO,Cerrado,,,,-14.9490,-44.5240,,APA CAVERNAS DO PERUACU
2002/10/11 16:18:00,AQUA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.0030,-44.5110,,APA CAVERNAS DO PERUACU
2002/10/09 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.0570,-44.5370,,APA CAVERNAS DO PERUACU
2002/08/31 16:24:00,AQUA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.0940,-44.5130,,APA CAVERNAS DO PERUACU
2002/09/18 16:11:00,AQUA_M-T,Brasil,MINAS GERAIS,JAIBA,Cerrado,,,,-15.1980,-44.0640,,APA CAVERNAS DO PERUACU
2002/09/21 16:42:00,AQUA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.0680,-44.5430,,APA CAVERNAS DO PERUACU
2002/10/09 13:44:00,TERRA_M-T,Brasil,MINAS GERAIS,CONEGO MARINHO,Cerrado,,,,-15.0430,-44.5620,,APA CAVERNAS DO PERUACU
2002/10/14 16:48:00,AQUA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.0360,-44.3380,,APA CAVERNAS DO PERUACU
2002/09/30 16:36:00,AQUA_M-T,Brasil,MINAS GERAIS,CONEGO MARINHO,Cerrado,,,,-14.9510,-44.5330,,APA CAVERNAS DO PERUACU
2002/10/09 13:44:00,TERRA_M-T,Brasil,MINAS GERAIS,CONEGO MARINHO,Cerrado,,,,-15.0420,-44.5560,,APA CAVERNAS DO PERUACU
2002/12/06 19:46:38,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Caatinga,,,,-15.2183,-44.1283,,APA CAVERNAS DO PERUACU
2002/09/21 16:42:00,AQUA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.0560,-44.5260,,APA CAVERNAS DO PERUACU
2002/09/10 17:00:00,AQUA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.0720,-44.3790,,APA CAVERNAS DO PERUACU
2002/09/21 16:42:00,AQUA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.0690,-44.5520,,APA CAVERNAS DO PERUACU
2002/10/09 13:44:00,TERRA_M-T,Brasil,MINAS GERAIS,CONEGO MARINHO,Cerrado,,,,-15.0390,-44.5760,,APA CAVERNAS DO PERUACU
2002/09/21 16:42:00,AQUA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.0750,-44.5320,,APA CAVERNAS DO PERUACU
