"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","year","month"
0.343412629000045,1.54820279900004,0.367128971000049,0.342463976000045,0.503735101000035,2.31661227700006,0.440175307000052,0.989445785000049,0.895529071000031,0.553065094000062,0.705798336000066,4.04505927400006,2.54903242700005,3.11632732500004,3.56693782100002,3.15617078000005,3.76900105400005,3.17514385300005,3.12960847800005,3.88473680300004,4.25091712,1.09569499800003,2.02442694600003,4.24522519800002,48384,240
0.0872761390000625,0.0664057580000625,0.111941133000066,0.0645084490000625,0.168860353000059,0.054073259000059,0.0645084510000625,0.116684402000062,0.194474004000059,0.0275109570000659,0.0635597960000625,0.100557290000062,0.152733242000062,0.178346891000049,0.0683030650000416,0.0246649970000659,0.035100188000059,0.0654571040000659,0.068303065000059,0.117633056000052,0.0445867230000486,0.138503438000062,0.151784587000052,0.146092666000049,48384,240
0.00094865400007981,8.328e-14,0.00094865400007981,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,0.00094865400007981,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,0.0246649960000763,8.328e-14,8.328e-14,48384,240
1.76734179800004,2.65717894500003,1.22091728200004,2.81939872400002,2.62587337400003,0.612830274000035,0.488556644000031,1.01316212400002,1.12794922000003,2.63251395300003,0.631803348000038,0.351001861000042,2.81180949400003,1.45523473800003,0.515118946000035,0.693465837000031,0.649827767000035,0.703901029000038,2.15249519100003,3.13909501300002,1.33096110600003,1.42203186100004,2.89623967300003,1.94094542100004,48384,240
0.917348104000045,2.55092973500004,1.07956788300005,3.95873179000004,2.88390717400005,0.518913561000059,1.49318088700005,3.30795536800004,3.19886019400004,0.0426894150000729,0.0977113290000625,0.294082639000062,1.33665303100004,4.15794906100004,4.61520013400004,0.0132811520000659,0.0341515320000659,0.153681896000062,0.450610496000042,3.09735425100003,4.35906364300003,0.0806355630000694,0.0758922960000451,0.0275109570000521,48384,240
0.158425164000052,0.047432684000059,0.0635597960000521,0.0455353770000555,0.0626111430000555,0.092968060000059,0.045535376000059,0.0227676890000555,0.0218190350000659,0.181192853000059,0.041740763000059,0.0540732590000625,0.040792108000059,0.0531246050000625,0.0360488400000625,0.159373818000059,0.0607138350000625,0.0398434550000659,0.079686909000059,0.0426894150000625,0.0170757660000694,0.114787094000062,0.0939167150000555,0.128068245000059,48384,240
0.0882247910000555,0.0540732600000625,0.0313055700000555,0.060713836000052,0.081584217000059,0.0502786450000486,0.043638068000059,0.124273631000038,0.0777896020000416,0.0521759520000486,0.0777896010000486,0.084430178000059,0.0739949870000416,0.0958140220000451,0.0464840300000521,0.0464840310000486,0.0901220970000521,0.113838442000059,0.199217271000038,0.127119594000035,0.0502786460000555,0.259931107000049,0.253290532000031,0.258033800000038,48384,240
0.00189730700007981,0.00474326900007634,8.328e-14,0.00094865400007981,8.328e-14,8.328e-14,8.328e-14,0.00664057600007981,0.00189730700007981,8.328e-14,8.328e-14,8.328e-14,0.00569192200007981,0.00189730700007981,8.328e-14,8.328e-14,8.328e-14,0.00094865400007981,0.00094865400007981,0.00094865400007981,8.328e-14,0.00284596100007634,8.328e-14,8.328e-14,48384,240
8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,48384,240
8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,8.328e-14,48384,240
