"","Temperature","RH","Precipitation","Wind Speed","FMC","DMC","DC","HAS_FIRE","Prob_fogo","HasFire_Predict"
"508",25.93073,61.00521,0.000907,9.158646,84.739018,61.84948938,380.6391707,"not-burned",0.136112749425768,"1"
"509",26.28385,62.22917,0.3080858,7.511406,85.82443378,63.44134434,386.5742644,"burned",0.130717946825557,"0"
"510",25.97135,61.44792,0.1029598,10.61474,86.26023345,65.04735307,392.4531082,"not-burned",0.141870234213206,"0"
"511",25.20729,59.66667,0.09264118,10.92641,86.53060323,66.6790175,398.1944207,"not-burned",0.126838006468386,"0"
"512",24.45729,60.38021,0.1195151,10.39047,86.60109881,68.23543632,403.8007332,"burned",0.10255171279332,"0"
"513",24.41042,53.98958,0,8.993542,87.26551078,70.03886583,409.3986082,"not-burned",0.118620898247867,"0"
"514",24.20417,55.44792,0,9.489479,87.38554284,71.76939184,414.9593582,"not-burned",0.110907846481619,"0"
"515",24.59479,52.96354,0,9.037552,87.66266636,73.62499972,420.5904207,"not-burned",0.129149089568275,"0"
"516",24.2901,49.99479,0,8.067865,88.02017352,75.57344704,426.1666394,"not-burned",0.127159992999033,"0"
"517",24.92708,48.40104,0,6.983958,88.40391951,77.63487509,431.8575144,"not-burned",0.149589912796692,"0"
"518",25.43125,49.65104,0,5.400833,88.50239432,79.61078453,437.6391394,"not-burned",0.155657184699522,"0"
"519",26.15625,50.71354,0,5.559115,88.58662621,81.59838721,443.5512644,"not-burned",0.180022536764407,"0"
"520",26.9474,49.78646,0,9.510052,88.7119296,83.68154678,449.6057957,"not-burned",0.244893351113211,"0"
"521",26.04167,52.90104,0,13.16135,88.76086182,85.57107182,455.4972957,"not-burned",0.209435482173906,"0"
"522",24.83125,56.71354,0,9.936875,88.61679244,87.2303753,461.1709207,"not-burned",0.132364465087658,"0"
"523",24.53906,56.75,0,8.919219,88.53146342,88.87010795,466.7919519,"not-burned",0.120377427208512,"0"
"524",24.39635,56.86458,0,9.437812,88.40029744,90.49702208,472.3872957,"not-burned",0.118702722394736,"0"
"525",24.30677,55.68229,0,7.919531,88.44912677,92.16235099,477.9665144,"not-burned",0.115155153442948,"0"
"526",24.41302,54.75521,0,6.794062,88.48929059,93.86861686,483.5648582,"not-burned",0.117659604512074,"0"
"527",25.80729,49.01562,0,5.399271,88.66496748,95.89669654,489.4141707,"not-burned",0.181758643571801,"0"
"528",25.40052,48.39583,0,7.8475,88.7542183,97.9189401,495.1902644,"not-burned",0.182397826857464,"0"
"529",24.74531,47.91667,0,9.075104,88.84779191,99.9081384,500.8484207,"not-burned",0.166460735147357,"0"
"530",24.24219,52.01562,0,10.37854,88.89676898,101.705897,506.4160144,"burned",0.139427405198872,"0"
"531",23.24271,52.33333,0,9.370208,88.88779936,103.4225963,511.8037019,"not-burned",0.106405237053426,"1"
"532",23.49115,47.23438,0,11.43823,88.93678965,105.3413526,517.2361082,"not-burned",0.139154540201821,"0"
"533",22.65729,52.99479,0,11.11901,88.82058658,106.9916704,522.5184207,"not-burned",0.0970591380880938,"0"
"534",22.17188,56.92188,0,10.24031,88.17999883,108.4749743,527.7133582,"not-burned",0.0753405947163507,"0"
"535",22.04063,52.10938,0,8.22526,88.22875543,110.1141633,532.8846707,"burned",0.0788058895480946,"0"
"536",22.76719,42.93229,0,7.75724,88.93412983,112.1270712,538.1867644,"not-burned",0.120364283899103,"0"
"537",23.62031,42.6875,0,8.339948,89.23689903,114.2222009,543.6424207,"not-burned",0.151194774211707,"0"
"538",23.84063,42.35417,0,12.1213,89.51955012,116.3468159,549.1377332,"not-burned",0.180283996034641,"0"
"539",22.29375,51.15625,0.0323927,15.46719,89.10838638,118.0367981,554.3546082,"not-burned",0.110726589242286,"0"
"540",22.29271,60.10417,0.2943148,15.62635,87.83449275,119.4175703,559.5712957,"not-burned",0.0836405848501994,"1"
"541",22.05156,55.22396,0.003197563,13.34245,87.88313529,120.9501633,564.7445769,"burned",0.0885217715799029,"0"
"542",21.74844,53.88542,0.002919513,13.44797,87.93179388,122.5079857,569.8632957,"not-burned",0.0861758607904573,"0"
"543",21.7599,58.14583,0.0266927,15.09167,87.85970264,123.9234556,574.9840769,"not-burned",0.0809988115911168,"0"
"544",22.36563,51.54688,0,15.07255,87.9083535,125.6047217,580.2138894,"not-burned",0.114014229570799,"0"
"545",21.90365,55.65104,0.05547076,12.66437,87.91763104,127.1129326,585.3605457,"not-burned",0.0838521152160036,"0"
"546",22.10781,55.92188,0,13.12969,87.95538934,128.6251786,590.5439519,"not-burned",0.0901708917252965,"0"
"547",22.09115,51.23958,0,7.501927,88.0364455,130.2974064,595.7243582,"not-burned",0.0858447547266944,"0"
"548",22.4974,43.69792,0,8.632604,88.75081776,132.2862365,600.9778894,"not-burned",0.121794802909058,"0"
"549",22.27031,41.77083,0,10.16401,89.1521614,134.3230443,606.1905457,"not-burned",0.128268559639344,"0"
"550",20.81771,51.52604,0.03266494,16.63672,88.85990886,135.9142507,611.1417332,"not-burned",0.0848683479899736,"0"
"551",19.59427,49.3125,0,17.08266,88.8835523,137.4850566,615.8727019,"not-burned",0.0684499530622753,"0"
